identifier	lemma	context	indices_target_token
fic_1835_7268.txt-820-3	afternoon_nn	In this sentence "school here Sunday afternoons, ten children, sometimes more, from father's families " -- " Father's families! '", "afternoon_nn" means in one word :	165:166
fic_1983_782026.txt-2184-5	afternoon_nn	In this sentence "Ronni's away for the afternoon, " he said. "", "afternoon_nn" means in one word :	98:99
fic_1974_782013.txt-1545-5	afternoon_nn	In this sentence "We lazed along through the afternoon, all three half asleep by the time we made the final mile before home.", "afternoon_nn" means in one word :	161:162
fic_1965_10467.txt-3637-5	afternoon_nn	In this sentence "would often pass half the afternoon with A Company listening to the daytime serials.", "afternoon_nn" means in one word :	138:139
fic_1986_782031.txt-439-25	afternoon_nn	In this sentence "These random thoughts of her friend led now, possibly through a natural association of Olga's mean street with the one on which that afternoon's miracle had taken place, back to her own emotion.", "afternoon_nn" means in one word :	248:249
fic_1969_10520.txt-3371-43	afternoon_nn	In this sentence "In those days the Flatbush Theater was the last place in Brooklyn where they still had vaudeville shows -- my folks would go with Louie's parents sometimes on a Saturday night -- and we used to have a good time on Saturday afternoons, wise-cracking and throwing popcorn at the people on stage.", "afternoon_nn" means in one word :	347:348
fic_1973_10570.txt-2425-28	afternoon_nn	In this sentence "I t was not to watch the seventh place Reapers take on the eighth place Mundys that a record-breaking forty-two thousandhad assembled in Reaper Field on a weekday afternoon -- rather, they had come, some from as far as two hundred miles upstate, to see justice done.", "afternoon_nn" means in one word :	320:321
fic_1987_780058.txt-2587-3	afternoon_nn	In this sentence "Late in the afternoon they stumbled, exhausted and worn, into the warm, gentle foothills where the jungle began.", "afternoon_nn" means in one word :	166:167
fic_1962_14199.txt-2624-7	afternoon_nn	In this sentence "LORD PENGO As it's my last afternoon here I have a few things to clean up.", "afternoon_nn" means in one word :	128:129
fic_1984_14628.txt-868-5	afternoon_nn	In this sentence "Esposito has gone for an afternoon walk and fallen asleep, his walking stick in his hand, one knee bent, his head pillowed on a stone.", "afternoon_nn" means in one word :	188:189
fic_1976_23909.txt-198-3	afternoon_nn	In this sentence "He spent whole afternoons in his study making notes for counter or improved proposals he thought he would send to Chipande or one of the other people he knew in high positions: every time he glanced up, there through his open windows was Muchanga's little company at the bottom of the garden.", "afternoon_nn" means in one word :	346:347
fic_1996_54472.txt-133-9	afternoon_nn	In this sentence "And what the hell, it's only one afternoon a week for me but it's like the whole rest of their lives for some of these people. "", "afternoon_nn" means in one word :	182:183
fic_1968_10504.txt-1024-20	afternoon_nn	In this sentence "Two days later, we were caught by the patrol from the other battalion; that was in the early afternoon, and by nightfall we were handed over to this captainwho was given the job of escorting us back to our battalion, and then to the division.", "afternoon_nn" means in one word :	296:297
fic_1977_780102.txt-1079-6	afternoon_nn	In this sentence "Ari arrived at Kibbutz Revivim Tuesday afternoon, at the peak of the sun's arc across", "afternoon_nn" means in one word :	139:140
fic_2006_51045.txt-778-3	afternoon_nn	In this sentence "In the late afternoon, all four brothers came with their wives for the end of Pchum Ben, when the ghosts of the dead can wander the Earth.", "afternoon_nn" means in one word :	192:193
nf_1970_774329.txt-642-27	afternoon_nn	In this sentence "The notorious penchant of some women for want- | ing to see every last thing that is available before making a decision can ruin more than one afternoon.", "afternoon_nn" means in one word :	207:208
mag_1965_274515.txt-21-0	afternoon_nn	In this sentence "afternoon that they can not impose a poll tax, why not tell them they can not impose a cigarette tax or any other tax? "", "afternoon_nn" means in one word :	174:175
fic_1967_780080.txt-2349-6	afternoon_nn	In this sentence "The sun will be in the afternoon sky before they can do that.", "afternoon_nn" means in one word :	115:116
fic_1970_782001.txt-2284-6	afternoon_nn	In this sentence "She had seen it coming that afternoon when he had lugged the two small green cases of files in from the car.", "afternoon_nn" means in one word :	162:163
fic_1977_780095.txt-3981-5	afternoon_nn	In this sentence "It was openly a fall afternoon, the sun soft and warm in the hills, the trees whispering, trading shadows right up the side of | the mountains, into the high pines and the dark ravines and canyons, and then back down again under the aspens.", "afternoon_nn" means in one word :	294:295
fic_1974_780099.txt-2903-6	afternoon_nn	In this sentence "There, on a steaming June afternoon, skulked a man in a tatty buffalo coat, the collar turned up and the brim of a big floppy hat turned down.", "afternoon_nn" means in one word :	196:197
fic_1994_54174.txt-275-3	afternoon_nn	In this sentence "During the long afternoon of uncertain sleep a heavy, almost hot pressure seemed to swell in his ribcage.", "afternoon_nn" means in one word :	159:160
fic_1964_16498.txt-2127-9	afternoon_nn	In this sentence "I was going to give them to you this afternoon when you came prancing in with this very funny joke you're playing on Bus and the Navy and your country and the whole bloody world.", "afternoon_nn" means in one word :	232:233
fic_2008_36241.txt-90-1	afternoon_nn	In this sentence "This afternoon we were given presentations and speeches in a windowless conference room crowded with desks and plastic chairs.", "afternoon_nn" means in one word :	180:181
fic_1971_14051.txt-667-2	afternoon_nn	In this sentence "On those afternoons by the sea, we knitted, Sheila and I, and talked about poetry and children.", "afternoon_nn" means in one word :	149:150
nf_1832_758144.txt-2520-8	afternoon_nn	In this sentence "We reached Philadelphia at four o'clock in the afternoon.", "afternoon_nn" means in one word :	111:112
fic_1827_9758.txt-5747-16	afternoon_nn	In this sentence "Being obliged to leave Solebury the next day, I resolved to set out the same afternoon, and stopping in Chetasco, for the night, seek his habitation at the hour when he had probably retired to it.", "afternoon_nn" means in one word :	250:251
fic_1850_7171.txt-326-12	afternoon_nn	In this sentence "" I heard the crackling of it in their stove, this afternoon, " said Melicent, " and saw the joyous glow of it in the faces of the family. "", "afternoon_nn" means in one word :	194:195
fic_1852_3671.txt-470-19	afternoon_nn	In this sentence "I wish we had a pack of cards here, " said one of the boys, one weary afternoon. "", "afternoon_nn" means in one word :	136:137
nf_1849_749269.txt-547-35	afternoon_nn	In this sentence "At last, toward evening, the old familiar black heads of thunderclouds rose fast above the horizon, and the same deep muttering of distant thunder that had become the ordinary accompaniment of our afternoon's journey began to roll hoarsely over the prairie.", "afternoon_nn" means in one word :	311:312
mag_1834_564768.txt-217-11	afternoon_nn	In this sentence "I wish my brother was here to ride with me this afternoon. "", "afternoon_nn" means in one word :	114:115
fic_1852_9832.txt-757-5	afternoon_nn	In this sentence "We were out walking one afternoon, and the two boys had been excursionizing to their heart's content, when Archie came up with, " O Miss Kate!", "afternoon_nn" means in one word :	196:197
fic_1835_7353.txt-1190-8	afternoon_nn	In this sentence "At Terni, which we reached in the afternoon, we found a guide, and made exertions to reach the celebrated cascade in the vicinity, before sunset.", "afternoon_nn" means in one word :	199:200
fic_1835_7272.txt-2343-15	afternoon_nn	In this sentence "You understood the intimation in the Italian stanza I gave you from the carriage this afternoon? "", "afternoon_nn" means in one word :	152:153
fic_1845_7170.txt-9891-50	afternoon_nn	In this sentence "Reports unfavorable to the reputation of Mrs. Wiswall, who has taken a house in town, and of Bertha, and also of Rose, have reached here, and we are called a harboring place of unprincipled persons, a community of -- Deacon Ramsdill was here this afternoon; he has not been deprived of his good cheer. "", "afternoon_nn" means in one word :	357:358
fic_1849_5295.txt-962-22	afternoon_nn	In this sentence "The next day I had occasion to go away at an early hour, and did not return until late in the afternoon, and on entering my little parlor, I was surprised at beholding a lady, handsomely dressed, who advanced towards me with an air of dignified politeness.", "afternoon_nn" means in one word :	310:311
fic_1842_7206.txt-3926-5	afternoon_nn	In this sentence "He had caught, one afternoon, in company with a crew of political cronies, a small car-full of striped bass and Lafayette fish, in the East river, and was declared the Hero of Kipp's Bay.", "afternoon_nn" means in one word :	241:242
mag_1854_555969.txt-139-11	afternoon_nn	In this sentence "Shortly after, an officer looked into his cell one Sunday afternoon, and found him lying on his bed, which he had unrolled contrary to orders, reading his Bible.", "afternoon_nn" means in one word :	215:216
fic_1849_7218.txt-2032-3	afternoon_nn	In this sentence "o'clock in the afternoon, unless something particular was in hand.", "afternoon_nn" means in one word :	120:121
fic_1832_7176.txt-2021-12	afternoon_nn	In this sentence "Ned and myself had put him, in the course of the afternoon, to some", "afternoon_nn" means in one word :	121:122
nf_1839_747920.txt-1978-13	afternoon_nn	In this sentence "In the forenoon Mr. Ewing offered his resolution; and, in the afternoon", "afternoon_nn" means in one word :	125:126
fic_1845_7262.txt-903-32	afternoon_nn	In this sentence "When I left my inn, " said Fleetwood, " it was with the intention of bidding you farewell, Miss Adelaide, and quitting this place for the city this afternoon. "", "afternoon_nn" means in one word :	214:215
fic_1860_615.txt-1132-40	afternoon_nn	In this sentence "Owing, it may be, to this moral estrangement, - - this chill remoteness of their position, - - there have come to us but a few vague whisperings of what passed in Miriam's interview that afternoon with the sinister personage who had dogged her footsteps ever since the visit to the catacomb.", "afternoon_nn" means in one word :	345:346
fic_1852_593.txt-3856-10	afternoon_nn	In this sentence "It is an absurd thing for a man in his afternoon, - - a man of the world, moreover, with these three white hairs in his brown mustache and that deepening track of a crow's-foot on each temple, an absurd thing ever to have happened, and quite the absurdest for an old bachelor, like me, to talk about.", "afternoon_nn" means in one word :	354:355
fic_1838_7174.txt-193-12	afternoon_nn	In this sentence "I doubt the brow of our brave dame hath been cloudy this afternoon.", "afternoon_nn" means in one word :	121:122
nf_1849_749269.txt-3206-13	afternoon_nn	In this sentence "At noon we stopped by some pools of rain-water, and in the afternoon again set forward.", "afternoon_nn" means in one word :	141:142
fic_1839_7352.txt-2123-7	afternoon_nn	In this sentence "On one occasion they started on their afternoon expedition in an unusually cheerful mood.", "afternoon_nn" means in one word :	143:144
fic_1855_2965.txt-1490-13	afternoon_nn	In this sentence "Substituting it for the gold ring, he wore it to school that afternoon; and a little negotiation, after school was dismissed, settled the business -- the coveted dog-collar was his!", "afternoon_nn" means in one word :	235:236
nf_1857_753133.txt-1759-5	afternoon_nn	In this sentence "One little incident in our afternoon travel I will mention, as it appeared to afford more pleasure to the rest of the passengers than it did to me.", "afternoon_nn" means in one word :	201:202
fic_1843_7325.txt-1640-7	afternoon_nn	In this sentence "Accordingly, the late sunshine of that afternoon shone full on the yellow buttons of James as he proceeded to the place of conflict.", "afternoon_nn" means in one word :	186:187
fic_1843_7208.txt-10502-5	afternoon_nn	In this sentence "He had caught, one afternoon, in company with a crew of political cronies, a small carful of striped-bass and Lafayette fish, in the East river, and was declared the " Hero of Kipp's bay. "", "afternoon_nn" means in one word :	243:244
fic_1860_2807.txt-3507-26	afternoon_nn	In this sentence "After the meal the party dispersed -- most of them taking a siesta in order to get rid of two or three hot hours of the afternoon before they set out on their way back to Elvas.", "afternoon_nn" means in one word :	231:232
nf_1849_762578.txt-1803-0	afternoon_nn	In this sentence "afternoon that the Indian bought me, he started with me to his residence, which was fifty or sixty miles distant.", "afternoon_nn" means in one word :	167:168
fic_1833_7321.txt-162-45	afternoon_nn	In this sentence "If one of the neighbors came in to chat awhile in an evening, my grandfather was always sure to go through with the fatigue of Burgwine; and if a stranger was travelling through Downingville and stopt at my grandfather's in a warm afternoon to get a drink of water, it was ten chances to one if he could get away till my grandfather had been through the whole story of the fatigue of Burgwine.", "afternoon_nn" means in one word :	447:448
fic_1857_3100.txt-1597-1	afternoon_nn	In this sentence "This afternoon, sir, I took some money from Mr. Wilkins to deposit in the bank. "", "afternoon_nn" means in one word :	135:136
fic_1835_7203.txt-689-5	afternoon_nn	In this sentence "About four o'clock in the afternoon, while he was standing at the tavern, door a funeral procession passed by, at the foot of which, and singly, walked one of the smallest men I ever saw.", "afternoon_nn" means in one word :	241:242
fic_1848_7193.txt-3809-25	afternoon_nn	In this sentence "Behold -- " said a Reverend man, one Sabbath-day, as he surveyed the thousand faces, mellowed by the mild beams of an afternoon sun -- " Behold the sands that stretch beside the waves of the Ocean.", "afternoon_nn" means in one word :	251:252
fic_1860_8118.txt-1759-29	afternoon_nn	In this sentence ", Some of the younger men dance to the sound of the banjo or fiddle -- others sit on the gunwale, smoking and talking; Late in the afternoon, the mocking-bird, the American mimic, singing in the Great Dismal Swamp -- there are the greenish waters, the resinous odor, the plenteous moss, the cypress tree, and the juniper tree; Northward, young men of Mannahatta -- the target company from an excursion returning home at evening -- the musket-muzzles all bear bunches of flowers presented by women; Children at play -- or on his father's lap a young boy fallen asleep, (how his lips move!", "afternoon_nn" means in one word :	641:642
fic_1855_2965.txt-316-18	afternoon_nn	In this sentence "It is only wasting time to half learn a thing, as you did your geography lesson this afternoon.", "afternoon_nn" means in one word :	149:150
nf_1852_752548.txt-186-20	afternoon_nn	In this sentence "The officer who commands the station sent a note to me by an orderly, inviting us to spend the afternoon with him.", "afternoon_nn" means in one word :	168:169
fic_1825_7041.txt-1647-2	afternoon_nn	In this sentence "On the afternoon of the same day that Wilson commenced his journey to Quebec, Grace was seated at her father's table, busily engaged in painting glass, -- a fashionable amusement at that period.", "afternoon_nn" means in one word :	248:249
fic_1854_9826.txt-2830-56	afternoon_nn	In this sentence "There was both authority and persuasion in it, -- an influence such as only men of strong magnetic powers know how to use successfully; and, before they parted, the young man, contrary to his inclinations and his pride, had promised to meet his uncle at the Tremont House in the afternoon.", "afternoon_nn" means in one word :	343:344
nf_1841_768644.txt-2525-21	afternoon_nn	In this sentence "The remainder of time not necessarily thus employed, might be divided somewhat in this manner: The leisure of two afternoons and evenings, could be devoted to religious and benevolent objects, such as religious meetings, charitable associations, school visiting, and attention to the sick and poor.", "afternoon_nn" means in one word :	352:353
fic_1993_1040090.txt-2612-8	afternoon_nn	In this sentence "She tried to take a nap in the afternoon, but when she didn't fall asleep she kept getting up to look through the kitchen window at Yiftach's house.", "afternoon_nn" means in one word :	202:203
mag_1859_506406.txt-108-33	afternoon_nn	In this sentence "Now climbing up the precipitous rocks, and now cutting their way through the tangled woods, they toiled courageously forward, but did not reach the castle till two o'clock in the afternoon.", "afternoon_nn" means in one word :	243:244
fic_1834_7252.txt-206-4	afternoon_nn	In this sentence "About two of the afternoon they reached the river, almost exhausted.", "afternoon_nn" means in one word :	122:123
fic_1850_2310.txt-1321-9	afternoon_nn	In this sentence "She remained in company with the cows all the afternoon.", "afternoon_nn" means in one word :	110:111
fic_1848_7341.txt-1820-4	afternoon_nn	In this sentence "It was a pleasant afternoon, and as we walked along on the bank of the canal what carries the water from the river to the", "afternoon_nn" means in one word :	175:176
fic_1855_9098.txt-10134-2	afternoon_nn	In this sentence "In the afternoon, as Walter was sitting in his room pondering over the events of the morning, he was startled by the abrupt entrance of Mr. Bell, who held in his hand a large envelope, bearing the broad seal of the government. "", "afternoon_nn" means in one word :	282:283
mag_1822_553391.txt-14-32	afternoon_nn	In this sentence "The mundane element is entirely absent; there is nothing in those silent assemblages of men and women in street clothes, packed into a dirty, stuffy theatre of a winter afternoon, to recall or replace the aspect of the auditorium of the Italiens or Grand Op * ra in former days.", "afternoon_nn" means in one word :	332:333
fic_1852_9832.txt-2197-8	afternoon_nn	In this sentence "" He said he calculated to plough this afternoon, " said Mrs. Barrington, as if that held out some slight hope of Ezra's coming home before night. "", "afternoon_nn" means in one word :	202:203
nf_1834_755185.txt-2925-9	afternoon_nn	In this sentence "Beach not to proceed up the river until the afternoon of the next day, as the sight of troops by the miners might make them hard to manage; otherwise, I assured the Major, he would have no trouble.", "afternoon_nn" means in one word :	251:252
fic_1846_200.txt-3364-3	afternoon_nn	In this sentence "On a warm afternoon of spring, as the artist sat among his riotous companions with a glass of wine before him, a splendid butterfly flew in at the open window and fluttered about his head. "", "afternoon_nn" means in one word :	244:245
fic_1851_3300.txt-1085-9	afternoon_nn	In this sentence "Mr. James Wilkinson was with the boys the whole afternoon, as well as his father, to whose utmost endeavors he joined his own, that the day might not be wholly unprofitable.", "afternoon_nn" means in one word :	227:228
fic_1852_9232.txt-4688-51	afternoon_nn	In this sentence "He remembered her round, well-proportioned figure, the sweet smile upon her face, the pleasant sparkle in her eye, and the grateful beverage in her hand; and he so earnestly pressed his ruminations and convictions on his friend Nettles, that the latter posted off one pleasant afternoon to the " Lodge, " and did not return home until the next day.", "afternoon_nn" means in one word :	402:403
fic_1851_3300.txt-1083-18	afternoon_nn	In this sentence "The last part of Louis ' speech was nearly inaudible, and no more was said until the afternoon.", "afternoon_nn" means in one word :	149:150
fic_1998_43428.txt-168-2	afternoon_nn	In this sentence "Later that afternoon, they all went for a walk to the caves at the far end of the beach.", "afternoon_nn" means in one word :	142:143
mag_1855_556005.txt-194-2	afternoon_nn	In this sentence "One Sabbath afternoon, in the winter of 1753, as he lay on a couch, in the full possession of those noble faculties he had borne so meekly, listening to one of Sherlock's Sermons, his wife beside and his children around him, the gentle and exalted spirit of", "afternoon_nn" means in one word :	311:312
news_1968_727538.txt-57-7	afternoon_nn	In this sentence "received a long awaited oil delivery yesterday afternoon and the heat came up shortly after 4 P.M.", "afternoon_nn" means in one word :	152:153
fic_1854_5388.txt-1142-35	afternoon_nn	In this sentence "In the evening, having supped, we went to the theatre, where I revenged myself upon the " heavy man, " and the " light comedian, " who had in the afternoon made merry at my expense for carrying the harp, by getting up a hiss for the former gentleman, who knew not one single word of his part, and by hitting the latter individual upon the nose with an apple, for which latter feat (as the actor was a great favorite,) I was hounded out of the theatre, and narrowly escaped being carried to the watch-house.", "afternoon_nn" means in one word :	560:561
fic_1853_4303.txt-2902-31	afternoon_nn	In this sentence "At noon where they halted the face of the country was much as it was when they set out in the morning; but, after a rapid ride in the afternoon, the vegetation entirely disappeared except the rank grass, leaving a broad prairie before them.", "afternoon_nn" means in one word :	294:295
fic_1851_3300.txt-3160-48	afternoon_nn	In this sentence "Louis looked at Dr. Wilkinson; and Reginald answered for himself -- " I am much obliged, ma'am; and, if you please, thank Mrs. Paget for me, but as it is not a half-holiday, I shall not be able to come this afternoon.", "afternoon_nn" means in one word :	271:272
fic_1835_7271.txt-1595-2	afternoon_nn	In this sentence "In the afternoon Kisel asked leave to avail himself of a permit which Eliot had obtained for him, to go on the opposite side of the river to a little brook, whence he had often brought a mess of trout for the officers ' table; for our friend Kisel was skilled in the craft of angling, and might have served Cruikshank for an illustration of Johnson's definition of the word, " a fishing-rod, with a bait at one end and a fool at the other; " but happily, as it proved, our fool had some " subtlety in his simplicity. "", "afternoon_nn" means in one word :	572:573
nf_1838_747585.txt-609-4	afternoon_nn	In this sentence "It was a fine afternoon; there was no wind, and I hoped, by walking, to have a view of the great temple before night.", "afternoon_nn" means in one word :	171:172
fic_1839_8698.txt-603-9	afternoon_nn	In this sentence ", my son intends going a step further this afternoon, but I shall myself remain under your comfortable roof.", "afternoon_nn" means in one word :	162:163
fic_1831_7210.txt-510-4	afternoon_nn	In this sentence "He had passed the afternoon in his favourite recreation, that of fowling in the woods, and was returning home with about twenty wild pigeons, as the trophies of his success, when, late in the evening, in the vicinity of his mother's residence, he overheard some voices in a thick wood through which he was passing.", "afternoon_nn" means in one word :	368:369
mag_1848_565759.txt-119-14	afternoon_nn	In this sentence "At Hudson, in Ohio, at half past three o'clock, in the afternoon, full intelligence is received of all the transactions of business, and of all iraportaut events that have transpired in the city of New York up to three o'clock.", "afternoon_nn" means in one word :	281:282
nf_1854_750816.txt-2503-1	afternoon_nn	In this sentence "Every afternoon the Dissenters crowded to a simpler worship, 204 James had waited twenty-four hours, expecting, as it should seem, the performance of Lundy's promises; and in twenty-four hours the arrangements for the defence of Londonderry were complete.", "afternoon_nn" means in one word :	309:310
fic_1849_7192.txt-7848-8	afternoon_nn	In this sentence "Terrible are they with brick-bats on a Sunday afternoon: formidable are they,", "afternoon_nn" means in one word :	131:132
fic_1846_7036.txt-2381-16	afternoon_nn	In this sentence "By some accident, Big Elk became separated from his hunting companions, late in the afternoon of a winter's day.", "afternoon_nn" means in one word :	166:167
fic_1852_69.txt-6782-7	afternoon_nn	In this sentence "It was towards the middle of the afternoon, as she was so reclining, -- her Bible half open, her little transparent fingers lying listlessly between the leaves, -- suddenly she heard her mother's voice, in sharp tones, in the verandah. "", "afternoon_nn" means in one word :	291:292
fic_1849_7218.txt-3369-36	afternoon_nn	In this sentence "It might have been a week after our glimpse of Lord Lovely, that Harry, who had been expecting a letter, which, he told me, might possibly alter his plans; one afternoon came bounding on board the ship, and sprang down the hatchway into the between-decks, where, in perfect solitude,", "afternoon_nn" means in one word :	337:338
fic_1839_7011.txt-1239-11	afternoon_nn	In this sentence "It was the seventh day of my flight, in the afternoon, and I had thrown myself upon the ground, as I almost hoped, to die; when I heard at a distance a sudden firing of guns, at first a volley, and then an irregular succession of discharges, which convinced me there was a battle waging nigh at hand.", "afternoon_nn" means in one word :	354:355
mag_1850_565942.txt-396-5	afternoon_nn	In this sentence "rrhe next day in the afternoon, " he exercised, " as Gov.", "afternoon_nn" means in one word :	111:112
fic_1860_616.txt-3119-6	afternoon_nn	In this sentence "And now, in the sunny afternoon, there could hardly be a spectacle more picturesque than the vista of that noble street, stretching into the interminable distance between two rows of lofty edifices, from every window of which, and many a balcony, flaunted gay and gorgeous carpets, bright silks, scarlet cloths with rich golden fringes, and Gobelin tapestry, still lustrous with varied hues, though the product of antique looms.", "afternoon_nn" means in one word :	482:483
fic_1845_7170.txt-10380-7	afternoon_nn	In this sentence "We go to Church, forenoon and afternoon, and sometimes dine in the Village, at Frank's, or elsewhere.", "afternoon_nn" means in one word :	155:156
fic_1853_9142.txt-2690-12	afternoon_nn	In this sentence "I would sometimes be sick in the morning and well in the afternoon.", "afternoon_nn" means in one word :	121:122
fic_2007_34112.txt-95-13	afternoon_nn	In this sentence "Two minutes earlier, she'd pulled into the garage on a sunny afternoon, another school year over, U2 playing on the radio.", "afternoon_nn" means in one word :	176:177
fic_2006_32064.txt-30-8	afternoon_nn	In this sentence "When the scruffy-looking teen showed up uninvited one afternoon at the artist's door, Sendak politely turned him away but invited Arthur to telephone him", "afternoon_nn" means in one word :	207:208
mag_1964_491917.txt-186-2	afternoon_nn	In this sentence "On Monday afternoon the judges retired to their chambers.", "afternoon_nn" means in one word :	111:112
fic_1847_1094.txt-4528-4	afternoon_nn	In this sentence "Though early in the afternoon, everything was quiet; but upon mounting the side we found four or five sailors lounging about the forecastle, under an awning.", "afternoon_nn" means in one word :	211:212
fic_1997_54614.txt-159-18	afternoon_nn	In this sentence "lust jumped out of it, out of my seat, out of my job (for the afternoon).", "afternoon_nn" means in one word :	127:128
nf_1849_749269.txt-111-33	afternoon_nn	In this sentence "When we were at St. Louis, several gentlemen of the Fur Company had kindly offered to procure for us a hunter and guide suited for our purposes, and on coming one afternoon to the office, we found there a tall and exceedingly well-dressed man with a face so open and frank that it attracted our notice at once.", "afternoon_nn" means in one word :	364:365
fic_1859_1191.txt-2358-42	afternoon_nn	In this sentence "He was very anxious to see his mother; but Doctor R --, desirous of making as great a change in the child's appearance and manner as possible, kept him at his house all night, and until the afternoon of the next day.", "afternoon_nn" means in one word :	270:271
nf_1854_747477.txt-3338-37	afternoon_nn	In this sentence "It directs the opening and closing of the schools with prayers; fixes the hours of daily attendance at from eight to eleven, or seven to tenin the morning, and one to three in the afternoon; prescribes instruction in spelling", "afternoon_nn" means in one word :	279:280
fic_1852_9832.txt-3009-7	afternoon_nn	In this sentence "we may send for these things this afternoon, but perhaps not till to-morrow.", "afternoon_nn" means in one word :	130:131
