identifier	lemma	context	indices_target_token
2012-2019_bank_3477	bank	In this sentence "Det har ikke skjedd. Norges største bank, DNB, tror at Norges Bank kutter styringsrenten i mars og at pengemarkedsrenten, målt ved 3 måneders Nibor-rente (Nibor = Norwegian Inter Bank Offered Rate), skal enda mer ned i løpet av året. Men det er heller ikke da sikkert at boliglånsrenten følger etter. Tvert imot er det fare for at bankene setter opp renten i løpet av året. Tjener for lite", "bank" means in one word :	435:436
1980-1990_bank_2829	bank	In this sentence "«Banken fastsetter regler for kredittens omfang, rentesatser og tilbakebetalingsvilkår.", "bank" means in one word :	133:134
2012-2019_bank_40560	bank	In this sentence "Det gjør at banken troner på toppen av denne månedens mest solgte aksjer.", "bank" means in one word :	119:120
1980-1990_bank_3609	bank	In this sentence "I lånekontrakten var bestemt at banken kunne kreve tilleggssikkerheter hvis utestående låns størrelse kom til å overskride 60% av markedsverdiene på de pantsatte skip.", "bank" means in one word :	213:214
1980-1990_bank_835	bank	In this sentence "Dette markedet funksjonerer på den måten at bankene kan skaffe seg norske kroner mot å selge valuta til dagens kurs.", "bank" means in one word :	162:163
1970-2015_bit_41	bit	In this sentence "I Sør-Trøndelag har de derfor hatt det som kan kalles en sekvensiell omorganisering av tjenestene. Omorganiseringen har skjedd stykkvis eller bit for bit over tid.", "bit" means in one word :	208:209
1929-1965_bit_260	bit	In this sentence "Klifa, v. (ad) gjentage, gjøre noget paa nfy, anben Øang o. f. b.; parf eigi pat (tad) at klifa optarr Mag. Il 57 ; klifar pii nokkut jafnan .&gt;: bu fyar altib noget at fnaffe om, Nj. 54 (85 2 i; vér kumpanar laerdum pik eitt vers, ok er pat nu pegar pér svå kaert, sein pii kunnir dngvan hlut annan, khfandi pat jafnan ae fram i heiminn Mar. 506 3 (jbf. Heid. 25 ©. 349 23 ); er pu klifar å pessu (o: fyotber baa meb bette, iffe bit opfyøre at tale berom), munu vid E. fara heiman ok safna lidi Mag. 27 7 ; m. ®en. hun sagdi, at hann purfti ekki jafnan at klifa hins sama Svarfd, 2b 30 ; kerling klifaoi allt sumarit um arfasåtuna, at inn skyldi bera Nj. 125 (194"); toludu um, at sjå madr vaeri hit mesta fin, hversu heimsliga hann klifast vid konung (o: fommer atter og atter frem meb bet famme for flongen) Flat. 111, 381"; pessi håttr heitir klifat (i fybitfen nemlig famme ©tabelfe er gjentaget i alle £&gt;albberfets 3txm) SE. I, 660". klifgata, f. Ski forn fører obab en flleb eller brat SBaffe. Haensn. lb (176'). klifra, v. (ad) ftabre, = klifa; pat folk, er fyrir bord var kastat, vildi ae klifra å verplana Fsk. 186 2 '. kligja, v. (gd) føle flbalme, SBcemmelfe, SCilbøieligfyeb til Dpfaftelfe. Alex. 153 9 jbf.", "bit" means in one word :	1270:1271
1970-2015_bit_342	bit	In this sentence "Og som for de andre gårdene på denne sletten, tok mellomriksveien en liten bit jord, nemlig 0,64 dekar. Utenfor kartet var det ca. 40 dekar skog.", "bit" means in one word :	190:191
1970-2015_bit_294	bit	In this sentence "Det var viktig at loven kom. I den sterke utbyggingsperioden etter krigen var dessverre verdifulle biter av gamle veifar blitt ødelagt og bygd ned. En kunnskapsrik veihistoriker i nyere tid var dr. philos. H.O. Christophersen.", "bit" means in one word :	271:272
1929-1965_bit_211	bit	In this sentence "MoJbech Dansk Diai. Lexicon &amp;. 438 19 ; Bi«&amp; 522a s *); fekk konungr ti! lunn bezta laekni at gvceSa hundinn. ok varfl hann heill. en samir menn segja. at hann sendi rakkann til Finns Jjess, er heitit ha!si at laekna hann. Sem fyrr er ritat Flat. I. 394"; pat hyga ek, at hundr yflvarr iTigi styrir alilitlu verr en ek; freista må sliks. sagSi konungr —; konungr tok på faetr rakkans ok lagdi at styrinu en helt J) 6 sjalfr å styrinu jafnfram Flat. I. 405 16 ' 19 ; la rakkinn å husum uppi, ok teygir hann rakkann a buott meB sér —: i pvi sér hundrinn. at par eru menn fyrir JR. 77 (114 14 ); rakkar par renna, rådask mink geyja, opt verar glaumr hunda fyr geira flugum Am. 24 (25): pat er ok vani Indialands. kvendis at binda hunda i skogum å nåttar tima fyrir pinum. at eigi purfu peir raka skegg 1 36 ™ dyrum. Sem tigridea heita, ok bitt inum vinstra rnegm (ni. efterat bele bit benftre Sinb et um daga lifs pins Kim. 95 3 ': faer hann henni erm hvassasta hårknif. ok rakar ton n 7 hans lokka 57/. 418 3 ; raka sér (ni. skegg): peir håfou låtit skaia krunur ok raka sér (= raka sik unber raka 2) Sturl. I. 323 d .", "bit" means in one word :	1169:1170
1929-1965_bit_208	bit	In this sentence "Uveiret ryker dem rakt imot. Driver av fyksne synker de i, kjaemper sig fri, sliter sig frem over avblåst ur, stanser et tak mot en is-svulls mur. Traerne pisker som kov forbi, skriker i nod, biter som orm.", "bit" means in one word :	251:252
1970-2015_bit_138	bit	In this sentence "Dersom modellen skal brukes i mange forskjellige sammenhenger i framtida, trengs det en sterkere modularisering av programsystemet, dvs. at en deler opp programsystemet i biter som en kan hente inn etter behov. Dersom SIMJAR skal brukes i to ulike sammenhenger som f. eks.", "bit" means in one word :	317:318
1929-1965_bit_172	bit	In this sentence "Man fant den siste sittende død, klaedd i sin skinndrakt, med vatter på og en bit flesk i hånden. Hermetikkboksene lå urørt rundt omkring, men saltmattønnene var halvspist.", "bit" means in one word :	217:218
1970-2015_bit_362	bit	In this sentence "En god regel er å unngå farge-, tone- og kontrastjustering på alle masterfiler, med mindre de er lagret i 48 bit (RGB).", "bit" means in one word :	164:165
1970-2015_bit_206	bit	In this sentence "Dette bildet får 32 bits fargedybde. Enkelte skannere leverer RGB-bilder med 30 bits fargedybde, dvs. 10 bits for hver farge. Det gir hele 1.024 nyanser for hver farge og kan vaere med på å skille ut detaljer, saerlig i skyggepartiene, som kanskje ikke ville vaert synlig med en skanning i 24 bits fargedybde. FARGEROM Kalles «Colour Space» på engelsk.", "bit" means in one word :	397:398
1929-1965_bit_131	bit	In this sentence "Det eldste bergverk av betydning i Nord-Norge er vistnoll bitens Kobberverk i Kåfjord ved bunnen av Altafjorden.", "bit" means in one word :	157:158
1929-1965_bit_318	bit	In this sentence "Imidlertid forhastet vi oss ikke, men satte oss til å spise igjen, da det efter Ivers mening var uvisst når vi senere kunde få leilighet til å ta oss en bit mat. Jeg har også senere ofte sett gamle reinjegere gjøre det samme. Straks de på lengere hold har opdaget rein, er det første de gjør å ta til nisteskreppen og få sig mat. Men min egen erfaring har derimot laert mig at man alltid gjør rettest i straks å gå på, dels fordi der kan komme folk gående og skremme eller «vinde» dyrene, dels fordi andre jegere kan vaere i farvannet, dels fordi dyrene kanskje nettop kan stå på et guns* tig lende når man opdager dem, men ved å gå snart kommer over på ugunstig terreng. Ligger dyrene, kan man like så godt eller helst holde måltid så naer dem som mulig enn langt fra dem. Men Harald rettet sig efter Iver, og jeg som den yngste måtte naturligvis rette mig efter Harald. Vi fortsatte altså vel til mote vårt måltid, tendte så snaddene våre og lunket så av sted i nordøstlig retning for å komme under vinden. Midt gjen&lt;= nem dalen rinner en temmelig stor bekk.", "bit" means in one word :	1108:1109
1929-1965_bit_153	bit	In this sentence "Lite dei håar og haattar, med alt sitt Braak og sitt Rop. Dei er nokre Faamings Fjottar: dei karm ikkje halde ihop!» Ku-Lokk. Aa Kyri mi vene, aa Kyri mi! Her sviv me no glade i Sumars Tid; i Fjelle finn me dei finaste Stråa; i Dalen strøymer den stride Aa. Og Vinden stryker so ljuv og linn som signande Sus fraa den klaare Tind Aa Kyri mi gode, aa Kyri mi! Her skal du vel trivast i grøne Lid; her sildrar Kjelda med Surl og Skval, og Grase er mjukt og Skuggen sval. Ja Nordanaas-Lidi, der er det godt; der gjaeter Huldri kvar einaste Nott. Aa Kyri mi snilde, aa Kyri mi, aa hav det no godt denne vesle Rid! Eg Ormen skal jaga som bit din Legg, og Flugu og My og stingande Klegg. Og Dagen skal gaa som den lette Vals; og vil du kvile, eg klåar din Hals. So lyder dei etter ditt Klokkespel, nåar heim me stundar ved Solegladsbil; daa kjem du so god med ditt fulle Jur og slikkar ditt Salt framved Kjøken-Mur. So vert du mjølka og gjeng i Kve og jortar og drøymer og søv i Fred. Aa Kyri mi vene, aa Kyri mi! Drøym godt um meg og den grøne Lid! Der sullar me saele den Sumar lang; til Hausten skal me paa Heimevang.", "bit" means in one word :	1159:1160
1970-2015_bit_47	bit	In this sentence "En kunne ikke lenger bygge ut en bit her og der etter som grunneierne trengte penger og ville selge noen tomter. Grunneierne kunne til tider vaere noe überegnelige.", "bit" means in one word :	209:210
1929-1965_bit_79	bit	In this sentence "Noen var kommet bit ned like efter nyttår 1937; en del var gått om natten over Pyreneerne ned til Figueras efter at franske-grensen var sperret; en hadde vaert ombord på «Ciudad de Barcelona», da den blev torpedert pa forsommeren utenkor spanskekysten, underveis fra Marseille.", "bit" means in one word :	322:323
1970-2015_bit_363	bit	In this sentence "For filer som lagres i 24 bit RGB, bør alle justeringer av farge(tone) og kontrast alltid utføres i skanningen, eller før RAW-filen konverteres til TIFF. Det optimale er å beholde alle filer i RGB. Kapasitet og lagringsplass gjør imidlertid at enkelte institusjoner velger å digitalisere/konvertere svart-hvittmateriale til gråskala.", "bit" means in one word :	378:379
1929-1965_bit_38	bit	In this sentence "Dem venlig tillate at oldemor flyttet ur på landet til Ågot — eller at Ågot flyttet bit in, ganske", "bit" means in one word :	143:144
1970-2015_bit_306	bit	In this sentence "Løsningene blir valgt etter en bit for bit diskusjon ut fra hva som fortoner seg billigst på kort sikt. Dette gjelder f.eks. landbruksareal, som blir betraktet som et reelt alternativ så lenge det vil koste mer å bygge på uproduktive arealer.", "bit" means in one word :	287:288
1970-2015_bit_301	bit	In this sentence "Men jeg ønsket meg likevel ut på landet, for der å forsøke å virkeliggjøre noen av de tanker og ideer som for lenge siden hadde invadert, hjemsøkt min sjel: drømmen om å leve og virke i pakt med naturen, foredle jorden og arbeide i frisk luft hele året. Betingelsene for å leve dette liv ligger godt til rette for meg her i California, men ikke på denne farmen. Når jeg attpåtil bor i hus med et rovdyr som glupskt og hensynsløst fortaerer mine livskrefter, bit for bit, er det ikke rart at jeg kommer til kort.", "bit" means in one word :	556:557
1929-1965_bit_370	bit	In this sentence "De eller de andre, som snakker aeren av henne, det bitterste annet om saken enn hva I sådan har fått laget til» sa Salve bistert og foraktelig. Han hadde en trang til å forsvare Elisabeth ennu for de andre, skjønt han dessverre alt hadde felt henne i sitt hjerte og følte seg syk, nesten svimlende innvendig. «Jeg har tilfeldigvis en kunnskap om hvordan det henger sammen,» løy han, idet han koldt og skarpt så henne inn i ansiktet, «og,» her fløy han opp og slo voldsomt i bordet «jeg spiser ikke en bit ien slik klaffertunges hus! forstår De, madam!» med et: «Vaer så god å gjøre", "bit" means in one word :	626:627
1970-2015_bit_365	bit	In this sentence "Skanning/ avfotografering direkte i gråskala anbefales kun for institusjoner som har en god kvalitetssikring av sin produksjon. Justeringer på filer lagret i 8 eller 16 bit vil medføre tap av viktig eksponeringsinformasjon. 21 Veiledningens forslag til en minimumsstandard er: 24 bit RGB for farge, 16 bit for gråskala (for mer info se 3.6. Anbefalte Standarder).", "bit" means in one word :	408:409
1929-1965_bit_334	bit	In this sentence "Den som kjem fyrst til mylla, faer fyrst mala. I myrkna er alle kattar grå. 38 89 Det legst alltid visa til for den som kveda vil. 90 91 Mannen visste ikkje at kjerringa var galen fyrr ho song når ho åt. 92 Han svelt ikkje som tjukt bit.", "bit" means in one word :	282:283
2012-2019_bystyrerepresentant_432	bystyrerepresentant	In this sentence "At flertallsbyrådet ryker i Erna Solbergs hjemby, pekes på som svaert uheldig. Bystyrerepresentant Robert Monsen er en av dem som har tatt Frølich i forsvar.", "bystyrerepresentant" means in one word :	218:219
2012-2019_bystyrerepresentant_494	bystyrerepresentant	In this sentence "Her må man se på gebyrnivået i kommunen, og vurdere landbruket separat fra annen type eiendom, mener han. Som eneste bystyrerepresentant fra det landbruksvennlige partiet, peker Bjørdal på utfordringene med å ta vare på bøndene i kommunen.", "bystyrerepresentant" means in one word :	300:301
2012-2019_bystyrerepresentant_441	bystyrerepresentant	In this sentence "FRYKTER IKKE KJØNNSLEMLESTELSE: Bashe Musse, somalisk-norsk bystyrerepresentant mener somaliere i Norge har endret holdning til kjønnslemlestelse. Foto: Trond Solberg 530 somalisk-norske jenter i alderen 6-13 år ble i tidsrommet 2001-2012 sendt ut av Norge, ifølge en fersk rapport fra Institutt for samfunnsforskning.", "bystyrerepresentant" means in one word :	379:380
